symbol,ann,credit,max_risk,pnl,ret_pct
BAC,2019-01-16,0.07,143.0,-42.0,-29.37
BAC,2019-04-16,0.1,190.0,-12.5,-6.56
BAC,2020-01-15,0.11,140.0,-14.0,-10.04
BAC,2021-01-19,0.09,291.0,-18.0,-6.19
BAC,2021-10-14,0.06,194.0,-18.0,-9.25
BAC,2022-01-19,0.13,287.0,-12.0,-4.18
BAC,2022-04-18,0.13,287.0,-15.5,-5.4
BAC,2022-07-18,0.12,288.0,-14.0,-4.85
BAC,2022-10-17,0.09,291.0,-18.0,-6.19
BAC,2023-01-13,0.08,242.0,-14.0,-5.79
BAC,2023-04-18,0.11,139.0,-14.5,-10.39
BAC,2023-07-18,0.09,141.0,-16.5,-11.7
BAC,2023-10-17,0.07,143.0,-16.5,-11.54
BAC,2024-01-12,0.08,192.0,-14.0,-7.29
BAC,2024-04-16,0.08,192.0,-20.5,-10.7
BAC,2024-07-16,0.07,193.0,-26.0,-13.47
BAC,2024-10-15,0.09,241.0,-14.5,-6.02
BAC,2025-01-16,0.06,194.0,-16.0,-8.25
BAC,2025-04-15,0.07,294.0,-17.0,-5.79
BAC,2025-07-16,0.09,191.0,-13.0,-6.81
BAC,2025-10-15,0.1,290.0,-17.0,-5.85
BAC,2026-01-14,0.12,238.0,-15.0,-6.29
BAC,2026-04-15,0.07,243.0,-16.5,-6.79
COST,2019-03-07,0.61,1189.0,39.0,3.28
COST,2019-05-30,0.46,1204.0,24.5,2.04
COST,2019-10-03,0.85,1415.0,63.0,4.45
COST,2019-12-12,0.49,1201.0,26.5,2.21
CVX,2019-02-01,0.06,494.0,-16.0,-3.24
CVX,2019-08-02,0.12,488.0,-43.5,-8.9
CVX,2019-11-01,0.08,392.0,-14.0,-3.57
CVX,2020-01-31,0.13,387.0,-9.0,-2.33
CVX,2020-10-30,0.07,693.0,-15.0,-2.16
CVX,2021-10-29,0.05,495.0,-16.5,-3.34
CVX,2022-04-29,0.1,1240.0,-12.5,-1.01
CVX,2022-10-28,0.17,1233.0,-5.0,-0.41
CVX,2023-04-28,0.07,743.0,-15.5,-2.08
CVX,2023-07-23,0.24,576.0,-14.5,-2.52
CVX,2024-02-02,0.14,736.0,-8.5,-1.15
CVX,2024-11-01,0.08,992.0,-14.0,-1.41
CVX,2025-01-31,0.11,489.0,-11.0,-2.25
CVX,2025-05-02,0.09,841.0,-13.0,-1.55
CVX,2025-08-01,0.07,742.0,-14.5,-1.95
CVX,2025-10-31,0.22,728.0,-0.0,-0.0
CVX,2026-01-30,0.11,739.0,-11.0,-1.49
CVX,2026-05-01,0.15,1485.0,-7.0,-0.47
DIS,2019-02-05,0.18,482.0,-6.0,-1.25
DIS,2019-08-06,0.29,721.0,-8.5,-1.18
DIS,2019-11-07,0.35,565.0,13.0,2.3
DIS,2020-02-04,0.8,720.0,52.5,7.29
DIS,2021-05-13,0.37,1214.0,14.5,1.19
DIS,2021-08-12,0.47,953.0,25.0,2.62
DIS,2021-11-10,0.75,1175.0,14.0,1.19
DIS,2022-02-09,1.42,1108.0,117.0,10.56
DIS,2022-11-08,0.67,933.0,-162.5,-17.42
DIS,2023-05-10,0.47,553.0,-24.0,-4.34
DIS,2023-08-09,0.53,647.0,28.5,4.41
DIS,2023-11-08,0.48,552.0,16.5,2.99
DIS,2024-02-07,0.75,625.0,-125.0,-20.0
DIS,2024-08-07,0.74,726.0,45.5,6.27
DIS,2024-11-14,0.79,521.0,47.0,9.03
DIS,2025-02-05,1.11,689.0,81.0,11.76
DIS,2025-05-07,0.55,746.0,-26.5,-3.55
