entry,exit,entry_px,exit_px,pnl,ret,giveback,why,symbol,variant
2017-01-10,2017-01-19,56.08552932739258,55.798919677734375,-51.10224564078794,-0.005110224564078836,1.5613936771947128,cross,MSFT,A
2016-12-22,2017-10-26,13.896666526794434,21.744667053222656,5647.397893082013,0.5647397893082013,0.33322008620987914,cross,TSLA,A
2017-12-18,2017-12-26,22.591333389282227,21.152666091918945,-636.8226578630429,-0.06368226578630432,0.0,cross,TSLA,A
2017-01-05,2018-02-05,26.82706069946289,36.580711364746094,3635.750772159129,0.363575077215913,0.35304834031557875,cross,AAPL,A
2018-01-11,2018-02-12,22.530000686645508,21.048667907714844,-657.4934459761083,-0.06574934459761084,2.3581912584838314,cross,TSLA,A
2018-02-22,2018-03-15,23.077999114990234,21.706666946411133,-594.2162324152085,-0.05942162324152089,2.8284428914388022,cross,TSLA,A
2017-01-05,2018-03-27,40.29371643066406,49.90448760986328,2385.1786408774374,0.23851786408774367,0.482244931637135,cross,GOOGL,A
2018-02-16,2018-04-24,40.47114944458008,38.24375534057617,-550.365911166924,-0.055036591116692346,2.021523981140493,cross,AAPL,A
2018-06-11,2018-07-24,22.139999389648438,19.82866668701172,-1043.9624057611234,-0.1043962405761123,1.89517120332833,cross,TSLA,A
2018-08-03,2018-08-29,23.211332321166992,20.333999633789062,-1239.624097214798,-0.12396240972147976,2.3745214166613517,cross,TSLA,A
2018-05-11,2018-10-09,54.68410873413086,56.7552375793457,378.7441897031701,0.03787441897031707,0.7705365195583285,cross,GOOGL,A
2017-01-20,2018-10-30,56.19301223754883,96.20873260498047,7121.120362487468,0.7121120362487467,0.21590534248095897,cross,MSFT,A
2018-10-31,2018-11-01,99.06538391113281,98.23991394042969,-83.3257731523675,-0.008332577315236733,0.0,cross,MSFT,A
2018-05-03,2018-11-12,41.517967224121094,46.070125579833984,1096.4309334172265,0.10964309334172273,0.6590944865581376,cross,AAPL,A
2018-11-05,2018-11-20,99.71463775634766,94.74271392822266,-498.61524245556376,-0.04986152424555634,2.204626410169673,cross,MSFT,A
2018-11-28,2018-12-18,103.50811767578125,96.847900390625,-643.4487878543077,-0.06434487878543083,8.37098612717739,cross,MSFT,A
2018-10-30,2019-01-03,21.99333381652832,20.02400016784668,-895.4229791218178,-0.08954229791218182,1.6299852830271568,cross,TSLA,A
2019-01-08,2019-01-23,22.356666564941406,19.172666549682617,-1424.1837019888183,-0.14241837019888182,4.993313908983044,cross,TSLA,A
2019-01-24,2019-01-29,98.92514038085938,95.8884506225586,-306.9684558050259,-0.030696845580502563,4.360760936563289,cross,MSFT,A
2019-01-30,2019-01-31,99.09282684326172,97.27640533447266,-183.30504504247864,-0.01833050450424789,0.0,cross,MSFT,A
2019-03-21,2019-05-13,4.559380054473877,3.927550792694092,-1385.7788871094542,-0.13857788871094545,4.123787655182494,cross,NVDA,A
2019-02-01,2019-05-21,55.43940353393555,57.21466827392578,320.2171428311923,0.032021714283119174,0.7982875627242785,cross,GOOGL,A
2019-03-12,2019-05-23,43.108070373535156,42.97507095336914,-30.852557076566903,-0.00308525570765672,1.0180983848236231,cross,AAPL,A
2019-07-19,2019-07-26,17.211999893188477,15.202667236328125,-1167.402201562603,-0.11674022015626029,5.498505435942985,cross,TSLA,A
2019-07-16,2019-08-06,4.146193027496338,3.78065824508667,-881.615448160634,-0.08816154481606342,2.272029138215699,cross,NVDA,A
2019-08-22,2019-08-28,4.255380630493164,4.004733085632324,-589.0132202622538,-0.05890132202622533,0.0,cross,NVDA,A
2019-09-17,2019-09-24,16.319332122802734,14.880666732788086,-881.5712427375781,-0.08815712427375777,12.922468979688611,cross,TSLA,A
2019-09-30,2019-10-04,16.058000564575195,15.428667068481445,-391.91273755594034,-0.03919127375559406,3.471198855593586,cross,TSLA,A
2019-07-17,2020-03-06,56.83305358886719,64.21757507324219,1299.3356890155778,0.12993356890155772,0.6059553863058358,cross,GOOGL,A
2019-02-05,2020-03-12,99.87528228759766,131.80850219726562,3197.3096023612825,0.31973096023612824,0.5931943819035472,cross,MSFT,A
2019-06-12,2020-03-12,46.450687408447266,59.9235954284668,2900.47548738093,0.2900475487380929,0.585914556000703,cross,AAPL,A
2019-08-29,2020-03-18,4.148309707641602,5.044817924499512,2161.140994864613,0.2161140994864612,0.7560296598039895,cross,NVDA,A
2019-10-09,2020-03-19,16.302000045776367,28.50933265686035,7488.242287330101,0.7488242287330102,0.7278752869622443,cross,TSLA,A
2020-04-30,2020-09-24,66.74317169189453,70.5177001953125,565.5302868797226,0.056553028687972295,0.7945455217456124,cross,GOOGL,A
2020-04-17,2021-03-05,68.2688980102539,118.1536865234375,7307.103229598193,0.7307103229598193,0.29573159533701754,cross,AAPL,A
2020-03-27,2021-03-08,6.286245822906494,11.54665756225586,8368.129226160572,0.8368129226160572,0.4143639073617074,cross,NVDA,A
2020-04-13,2021-03-26,43.39666748046875,206.23666381835938,37523.617778065316,3.7523617778065317,0.3511489265870883,cross,TSLA,A
2021-04-05,2021-05-11,230.35000610351562,205.73333740234375,-1068.6636878190286,-0.10686636878190281,2.0362003883315554,cross,TSLA,A
2021-04-07,2021-05-21,124.45936584472656,122.26314544677734,-176.4608378841643,-0.017646083788416478,1.3252064575166351,cross,AAPL,A
2021-05-24,2021-05-27,123.89097595214844,122.1169204711914,-143.1948910986254,-0.014319489109862582,0.0,cross,AAPL,A
2020-10-09,2022-01-13,74.85871124267578,137.36891174316406,8350.424347788156,0.8350424347788157,0.1514010938220957,cross,GOOGL,A
2020-04-08,2022-01-18,156.51907348632812,291.5407409667969,8626.531225426837,0.8626531225426839,0.2239972091618488,cross,MSFT,A
2021-04-05,2022-01-21,13.936090469360352,23.300392150878906,6719.461029696059,0.6719461029696059,0.5155743009603775,cross,NVDA,A
2021-06-28,2022-01-27,229.57333374023438,276.3666687011719,2038.2739666918308,0.20382739666918304,0.7406086508443748,cross,TSLA,A
2021-06-14,2022-03-08,127.18563079833984,154.1152801513672,2117.3499855283067,0.21173499855283073,0.4694091896220319,cross,AAPL,A
2022-03-25,2022-04-11,140.42779541015625,127.69122314453125,-906.983708490509,-0.09069837084905086,10.895602897416747,cross,GOOGL,A
2022-03-24,2022-04-11,28.066131591796875,21.851699829101562,-2214.2102991178367,-0.2214210299117837,13.318201581102386,cross,NVDA,A
2022-03-29,2022-04-11,304.4605407714844,275.357177734375,-955.8993412861724,-0.09558993412861727,0.0,cross,MSFT,A
2022-03-23,2022-04-26,166.61561584472656,153.48878479003906,-787.851185984916,-0.07878511859849158,2.5325689609714037,cross,AAPL,A
2022-03-24,2022-04-28,337.97332763671875,292.5033264160156,-1345.3724747645763,-0.13453724747645768,2.037101358081493,cross,TSLA,A
2022-08-16,2022-08-22,120.6303482055664,113.23590850830078,-612.9833667283084,-0.0612983366728308,0.0,cross,GOOGL,A
2022-08-04,2022-08-30,274.4407958984375,254.9722137451172,-709.3909668052801,-0.070939096680528,3.0490743060507364,cross,MSFT,A
2022-07-27,2022-09-15,153.70449829101562,149.5789794921875,-268.40585960061463,-0.026840585960061447,1.233764369803699,cross,AAPL,A
2022-07-29,2022-10-03,297.1499938964844,242.39999389648438,-1842.5038238120508,-0.18425038238120506,5.49876249727298,cross,TSLA,A
2022-12-13,2022-12-19,249.80828857421875,233.79415893554688,-641.0567771819161,-0.06410567771819164,55.896014227429646,cross,MSFT,A
2022-11-15,2022-12-28,16.624797821044922,14.0048828125,-1575.9078917810573,-0.15759078917810576,2.8618839648549224,cross,NVDA,A
2023-02-02,2023-02-14,106.79303741455078,93.84783935546875,-1212.1762216417885,-0.12121762216417886,0.0,cross,GOOGL,A
2023-02-09,2023-03-10,207.32000732421875,173.44000244140625,-1634.188871594483,-0.1634188871594483,5.895955758320121,cross,TSLA,A
2023-03-24,2023-04-12,190.41000366210938,180.5399932861328,-518.3556633658446,-0.05183556633658448,1.578886135446116,cross,TSLA,A
2023-02-02,2023-09-15,148.302978515625,172.82345581054688,1653.4042364050317,0.16534042364050316,0.46026991642948833,cross,AAPL,A
2023-02-01,2023-09-28,245.75372314453125,307.03912353515625,2493.773018225331,0.24937730182253315,0.41869283755009223,cross,MSFT,A
2023-10-13,2023-10-18,176.6155242919922,173.6431121826172,-168.29846194385587,-0.016829846194385545,0.0,cross,AAPL,A
2023-05-26,2023-10-20,193.1699981689453,211.99000549316406,974.2717555838503,0.09742717555838509,0.8121193204728108,cross,TSLA,A
2023-03-20,2023-11-02,100.33036041259766,126.36946105957031,2595.33610164358,0.25953361016435794,0.332062234710758,cross,GOOGL,A
2023-11-28,2024-01-11,246.72000122070312,227.22000122070312,-790.3696458949145,-0.0790369645894915,2.324728151012242,cross,TSLA,A
2023-11-08,2024-02-20,180.6050262451172,179.75694274902344,-46.9579121758622,-0.0046957912175862315,1.0554753734456814,cross,AAPL,A
2023-11-03,2024-03-05,127.96532440185547,131.5039520263672,276.5301960552377,0.0276530196055238,0.8537479886268932,cross,GOOGL,A
2023-10-09,2024-08-02,322.8785400390625,402.1695556640625,2455.7536594227417,0.24557536594227414,0.4231159237676973,cross,MSFT,A
2024-03-14,2024-08-06,141.84226989746094,157.0787811279297,1074.1869290080708,0.10741869290080719,0.68174307926495,cross,GOOGL,A
2024-09-16,2024-10-07,425.43145751953125,403.9300842285156,-505.40158493165757,-0.05054015849316573,3.965981325722176,cross,MSFT,A
2024-10-04,2024-10-09,166.001708984375,160.83462524414062,-311.26690031370276,-0.031126690031370252,0.0,cross,GOOGL,A
2024-10-16,2024-10-17,164.11373901367188,161.8978271484375,-135.0229346154726,-0.013502293461547299,0.0,cross,GOOGL,A
2024-10-22,2024-10-23,164.09385681152344,161.74879455566406,-142.90981401899097,-0.014290981401899105,0.0,cross,GOOGL,A
2024-10-24,2024-11-01,418.9120178222656,404.74871826171875,-338.09723660293804,-0.03380972366029378,2.8410283669656353,cross,MSFT,A
2024-11-13,2024-11-15,419.3755798339844,409.3153076171875,-239.8869343031221,-0.02398869343031218,7.035426583668985,cross,MSFT,A
2024-11-27,2025-01-10,418.03094482421875,414.0382995605469,-95.510758548049,-0.009551075854804858,1.1283766943572775,cross,MSFT,A
2024-05-09,2025-01-22,182.73704528808594,222.40902709960938,2170.98737417913,0.21709873741791297,0.46847855396829324,cross,AAPL,A
2023-01-12,2025-01-30,16.474397659301758,124.464111328125,65550.0224664361,6.5550022466436095,0.18641247873568847,cross,NVDA,A
2025-01-22,2025-02-03,440.9688415527344,406.10247802734375,-790.6763526107557,-0.07906763526107552,36.279798666007906,cross,MSFT,A
2025-01-29,2025-02-07,237.8404083251953,226.18490600585938,-490.0555965830482,-0.049005559658304776,0.0,cross,AAPL,A
2024-06-26,2025-02-25,196.3699951171875,302.79998779296875,5419.870414126513,0.5419870414126513,0.6245723082222748,cross,TSLA,A
2024-10-28,2025-02-26,165.66383361816406,171.83245849609375,372.35796994458383,0.03723579699445834,0.8443988042016907,cross,GOOGL,A
2025-02-14,2025-02-27,138.6429443359375,119.9708251953125,-1346.777452690394,-0.13467774526903942,15.841493735673309,cross,NVDA,A
2025-02-12,2025-03-11,235.625,219.67926025390625,-676.7422703912467,-0.06767422703912462,2.566955710732017,cross,AAPL,A
2025-05-13,2025-07-09,334.07000732421875,295.8800048828125,-1143.1736343916207,-0.1143173634391621,2.3251211913923933,cross,TSLA,A
2025-07-21,2025-08-01,211.64036560058594,201.58030700683594,-475.33742276440995,-0.04753374227644103,6.260354415836212,cross,AAPL,A
2025-05-02,2025-11-20,431.0393981933594,476.3088684082031,1050.239732251491,0.105023973225149,0.5793547245497827,cross,MSFT,A
2025-05-14,2025-12-18,135.1505889892578,173.9278564453125,2869.189675461705,0.2869189675461705,0.45861227623586487,cross,NVDA,A
2025-08-07,2026-01-20,219.16053771972656,246.2425079345703,1235.7138058073906,0.12357138058073902,0.5927445714963604,cross,AAPL,A
2025-07-14,2026-02-05,316.8999938964844,397.2099914550781,2534.2379017156773,0.2534237901715677,0.5357267172046761,cross,TSLA,A
2026-02-02,2026-03-12,269.5093078613281,255.52456665039062,-518.8964092525194,-0.051889640925251945,2.7275969448151582,cross,AAPL,A
2025-12-19,2026-03-18,180.76951599121094,180.1899871826172,-32.058989891964245,-0.003205898989196432,1.0398240110056034,cross,NVDA,A
2025-05-28,2026-03-26,171.66188049316406,280.7523193359375,6354.960025450592,0.6354960025450591,0.36420571190746265,cross,GOOGL,A
2026-05-29,2026-06-10,450.239990234375,397.3599853515625,-1174.4848531843097,-0.117448485318431,6.143969957400068,cross,MSFT,A
2026-05-08,2026-06-17,428.3500061035156,396.3800048828125,-746.3522998754717,-0.07463522998754712,2.8894818860315206,cross,TSLA,A
2026-04-15,2026-06-29,266.18475341796875,281.739990234375,584.3774527529417,0.05843774527529422,0.6826450129877245,open,AAPL,A
2026-04-08,2026-06-29,317.1305847167969,353.6499938964844,1151.5574636959084,0.11515574636959092,0.5716152331066834,open,GOOGL,A
2026-04-13,2026-07-02,189.08961486816406,194.8300018310547,303.58023453022014,0.030358023453022076,0.876220636693707,cross,NVDA,A
2026-07-06,2026-07-08,419.7699890136719,394.05999755859375,-612.4780743732672,-0.06124780743732672,0.0,cross,TSLA,A
2026-07-10,2026-07-13,407.760009765625,394.760009765625,-318.8149815738975,-0.03188149815738972,0.0,cross,TSLA,A
2026-07-08,2026-07-14,204.1199951171875,211.8000030517578,376.24966285939485,0.03762496628593959,0.0,open,NVDA,A
2017-01-10,2017-01-19,56.08552932739258,55.798919677734375,-51.10224564078794,-0.005110224564078836,1.5613936771947128,cross,MSFT,B
2016-12-22,2017-10-26,13.896666526794434,21.744667053222656,5647.397893082013,0.5647397893082013,0.33322008620987914,cross,TSLA,B
2017-12-18,2017-12-26,22.591333389282227,21.152666091918945,-636.8226578630429,-0.06368226578630432,0.0,cross,TSLA,B
2017-01-05,2018-02-05,26.82706069946289,36.580711364746094,3635.750772159129,0.363575077215913,0.35304834031557875,cross,AAPL,B
2018-01-11,2018-02-08,22.530000686645508,21.01533317565918,-672.2891543825546,-0.06722891543825549,2.388754911922046,atr_stop,TSLA,B
2018-02-22,2018-03-15,23.077999114990234,21.706666946411133,-594.2162324152085,-0.05942162324152089,2.8284428914388022,cross,TSLA,B
2017-01-05,2018-03-27,40.29371643066406,49.90448760986328,2385.1786408774374,0.23851786408774367,0.482244931637135,cross,GOOGL,B
2018-02-16,2018-04-24,40.47114944458008,38.24375534057617,-550.365911166924,-0.055036591116692346,2.021523981140493,cross,AAPL,B
2018-06-11,2018-07-23,22.139999389648438,20.213333129882812,-870.219653513829,-0.08702196535138296,1.7461912134929733,atr_stop,TSLA,B
2018-08-03,2018-08-17,23.211332321166992,20.366666793823242,-1225.5502993034263,-0.12255502993034262,2.3589160918807117,atr_stop,TSLA,B
2018-05-11,2018-10-09,54.68410873413086,56.7552375793457,378.7441897031701,0.03787441897031707,0.7705365195583285,cross,GOOGL,B
2017-01-20,2018-10-30,56.19301223754883,96.20873260498047,7121.120362487468,0.7121120362487467,0.21590534248095897,cross,MSFT,B
2018-10-31,2018-11-01,99.06538391113281,98.23991394042969,-83.3257731523675,-0.008332577315236733,0.0,cross,MSFT,B
2018-05-03,2018-11-12,41.517967224121094,46.070125579833984,1096.4309334172265,0.10964309334172273,0.6590944865581376,cross,AAPL,B
2018-11-05,2018-11-20,99.71463775634766,94.74271392822266,-498.61524245556376,-0.04986152424555634,2.204626410169673,cross,MSFT,B
2018-11-28,2018-12-17,103.50811767578125,95.8418960571289,-740.6396513426386,-0.07406396513426383,9.484349801153394,atr_stop,MSFT,B
2018-10-30,2019-01-03,21.99333381652832,20.02400016784668,-895.4229791218178,-0.08954229791218182,1.6299852830271568,cross,TSLA,B
2019-01-08,2019-01-23,22.356666564941406,19.172666549682617,-1424.1837019888183,-0.14241837019888182,4.993313908983044,cross,TSLA,B
2019-01-24,2019-01-29,98.92514038085938,95.8884506225586,-306.9684558050259,-0.030696845580502563,4.360760936563289,cross,MSFT,B
