symbol,entry,strike,debit,pnl,mae,exit_reason,ret_pct,days_held
TSLA,2013-08-20,150.0,18.32,554.5,-72.5,manage_21dte,30.26,14
TSLA,2013-10-01,195.0,36.23,279.0,-447.5,manage_21dte,7.7,27
TSLA,2013-12-17,150.0,18.08,-488.5,-477.5,manage_21dte,-27.03,13
TSLA,2014-01-27,170.0,25.73,416.5,0.0,manage_21dte,16.19,11
TSLA,2014-03-03,250.0,37.2,-766.0,-897.5,manage_21dte,-20.59,18
TSLA,2014-03-14,230.0,35.03,-776.0,-1162.5,manage_21dte,-22.16,21
TSLA,2014-03-27,207.5,39.4,-983.5,-972.5,manage_21dte,-24.96,25
TSLA,2014-04-08,215.0,39.12,-636.0,-800.0,manage_21dte,-16.26,20
TSLA,2014-04-10,205.0,37.4,-743.5,-732.5,manage_21dte,-19.88,18
TSLA,2014-07-31,222.5,30.65,443.0,-465.0,manage_21dte,14.45,22
TSLA,2014-09-25,247.5,31.85,-51.0,-282.5,manage_21dte,-1.6,22
TSLA,2014-12-11,210.0,21.98,-76.0,-195.0,manage_21dte,-3.46,18
TSLA,2015-06-29,262.5,28.57,-428.5,-635.0,manage_21dte,-15.0,18
TSLA,2015-08-20,242.5,27.35,-546.0,-535.0,manage_21dte,-19.96,22
TSLA,2015-12-11,217.5,25.85,-883.5,-872.5,manage_21dte,-34.18,24
TSLA,2016-01-04,222.5,27.32,-19.5,-50.0,manage_21dte,-0.71,18
TSLA,2016-06-16,217.5,23.15,-648.5,-637.5,manage_21dte,-28.01,22
TSLA,2016-09-14,195.0,18.1,-171.0,-295.0,manage_21dte,-9.45,16
TSLA,2016-10-11,200.0,23.6,-941.0,-930.0,manage_21dte,-39.87,17
TSLA,2017-04-10,310.0,34.67,-1048.5,-1037.5,manage_21dte,-30.24,18
TSLA,2017-08-11,357.5,35.48,-1396.0,-1385.0,manage_21dte,-39.35,21
TSLA,2017-11-14,307.5,29.35,-938.5,-927.5,manage_21dte,-31.98,17
TSLA,2017-11-28,317.5,27.55,362.0,-385.0,manage_21dte,13.14,17
TSLA,2018-01-16,340.0,35.13,-296.0,-300.0,manage_21dte,-8.43,17
TSLA,2018-07-02,335.0,51.7,-1226.0,-1375.0,manage_21dte,-23.71,18
TSLA,2018-10-08,250.0,53.25,2651.5,-737.5,tp_plus50,49.79,18
TSLA,2019-05-09,240.0,31.73,1575.3,-500.0,tp_plus50,49.65,13
TSLA,2019-08-05,227.5,29.48,-651.0,-1042.5,manage_21dte,-22.09,18
TSLA,2019-10-01,245.0,33.6,-421.0,-645.0,manage_21dte,-12.53,17
TSLA,2020-01-27,557.5,97.32,4855.2,-292.5,tp_plus50,49.89,7
TSLA,2020-09-24,387.5,106.28,-3066.0,-3055.0,manage_21dte,-28.85,22
TSLA,2020-09-30,430.0,98.75,-3043.5,-3032.5,manage_21dte,-30.82,16
TSLA,2021-01-28,835.0,157.25,-6301.0,-6492.5,stop_minus40,-40.07,22
TSLA,2021-09-17,760.0,89.8,-676.0,-952.5,manage_21dte,-7.53,21
TSLA,2021-11-26,1080.0,210.95,-3941.0,-6887.5,manage_21dte,-18.68,21
TSLA,2022-01-13,1030.0,188.18,-5148.5,-5137.5,manage_21dte,-27.36,22
TSLA,2022-04-22,1005.0,156.75,7826.5,-1842.5,tp_plus50,49.93,19
TSLA,2022-09-02,270.0,41.75,-958.5,-947.5,manage_21dte,-22.96,21
TSLA,2022-09-13,291.67,41.83,-88.5,-562.5,manage_21dte,-2.12,17
TSLA,2023-08-17,220.0,27.8,1379.0,-12.5,tp_plus50,49.6,12
TSLA,2023-09-26,245.0,34.73,-828.5,-817.5,manage_21dte,-23.86,17
TSLA,2024-03-18,175.0,24.75,-358.5,-520.0,manage_21dte,-14.48,18
TSLA,2024-04-04,170.0,24.45,-956.0,-945.0,manage_21dte,-39.1,22
TSLA,2024-07-19,240.0,37.7,321.5,-1172.5,manage_21dte,8.53,21
TSLA,2024-09-03,210.0,30.3,574.0,0.0,manage_21dte,18.94,17
TSLA,2024-10-03,240.0,42.23,-298.5,-1112.5,manage_21dte,-7.07,22
TSLA,2025-01-02,380.0,67.18,-1363.5,-1352.5,manage_21dte,-20.3,22
TSLA,2025-02-03,385.0,55.78,-296.0,-1315.0,manage_21dte,-5.31,18
TSLA,2025-02-25,305.0,48.05,2391.5,-130.0,tp_plus50,49.77,13
TSLA,2025-10-10,415.0,66.83,-776.0,-1697.5,manage_21dte,-11.61,21
TSLA,2026-02-04,405.0,46.58,-1483.5,-1472.5,manage_21dte,-31.85,16
NFLX,2013-08-20,275.0,25.55,-268.5,-367.5,manage_21dte,-10.51,14
NFLX,2013-10-01,325.0,51.33,-2064.0,-2342.5,stop_minus40,-40.21,24
NFLX,2013-12-17,375.0,31.23,-968.5,-957.5,manage_21dte,-31.02,13
NFLX,2014-01-27,380.0,33.15,1646.5,0.0,tp_plus50,49.67,11
NFLX,2014-03-03,445.0,41.9,18.5,-977.5,manage_21dte,0.44,18
NFLX,2014-03-14,425.0,61.75,3071.5,-390.0,manage_21dte,49.74,21
NFLX,2014-03-27,365.0,58.42,-1286.0,-1275.0,manage_21dte,-22.01,25
NFLX,2014-04-08,350.0,55.22,-2220.0,-2700.0,stop_minus40,-40.2,15
NFLX,2014-04-10,335.0,53.23,-2140.0,-2555.0,stop_minus40,-40.21,14
NFLX,2014-07-31,422.5,35.75,1776.5,-132.5,tp_plus50,49.69,22
NFLX,2014-09-25,442.5,47.98,2387.8,-947.5,tp_plus50,49.77,21
NFLX,2014-12-11,335.0,32.58,-653.5,-642.5,manage_21dte,-20.06,18
NFLX,2015-06-29,645.0,77.72,-3120.0,-6462.0,stop_minus40,-40.14,16
NFLX,2015-08-20,112.0,15.55,766.5,0.0,tp_plus50,49.29,4
NFLX,2015-12-11,119.0,20.55,-391.0,-432.5,manage_21dte,-19.03,24
NFLX,2016-01-04,110.0,17.93,-446.5,-435.5,manage_21dte,-24.91,18
NFLX,2016-06-16,95.5,12.9,-168.5,-157.5,manage_21dte,-13.06,22
NFLX,2016-09-14,95.0,11.6,-103.5,-125.0,manage_21dte,-8.92,16
NFLX,2016-10-11,100.0,12.6,619.0,0.0,tp_plus50,49.13,7
NFLX,2017-04-10,145.0,14.57,-594.0,-597.5,stop_minus40,-40.75,8
NFLX,2017-08-11,172.5,15.03,-612.0,-635.0,stop_minus40,-40.73,21
NFLX,2017-11-14,195.0,13.4,-102.5,-385.0,manage_21dte,-7.65,17
NFLX,2017-11-28,200.0,11.7,574.0,0.0,tp_plus50,49.06,6
NFLX,2018-01-16,222.5,22.75,1126.5,-127.5,tp_plus50,49.52,8
NFLX,2018-07-02,397.5,53.75,-2161.0,-2160.0,stop_minus40,-40.2,15
NFLX,2018-10-08,350.0,48.05,533.5,-1540.0,manage_21dte,11.1,18
NFLX,2019-05-09,365.0,35.95,-771.0,-1135.0,manage_21dte,-21.45,22
NFLX,2019-08-05,307.5,31.0,-693.5,-995.0,manage_21dte,-22.37,18
NFLX,2019-10-01,270.0,34.1,-1375.0,-1530.0,stop_minus40,-40.32,17
NFLX,2020-01-27,342.5,29.48,1069.5,-212.5,manage_21dte,36.28,18
NFLX,2020-09-24,472.5,75.4,214.0,-540.0,manage_21dte,2.84,22
NFLX,2020-09-30,500.0,70.17,-111.0,-110.0,manage_21dte,-1.58,16
NFLX,2021-01-28,537.5,58.3,-2343.0,-2530.0,stop_minus40,-40.19,22
NFLX,2021-09-17,590.0,52.92,836.5,-237.5,manage_21dte,15.81,21
NFLX,2021-11-26,665.0,62.25,1843.0,-1070.0,manage_21dte,29.61,21
NFLX,2022-01-13,520.0,55.8,2779.0,-87.5,tp_plus50,49.8,8
NFLX,2022-04-22,215.0,31.72,1575.2,-697.5,tp_plus50,49.65,19
NFLX,2022-09-02,225.0,31.7,-751.0,-740.0,manage_21dte,-23.69,21
NFLX,2022-09-13,220.0,36.98,289.0,-10.0,manage_21dte,7.82,17
NFLX,2023-03-13,295.0,41.12,1681.5,-375.0,manage_21dte,40.89,18
NFLX,2023-08-17,405.0,37.97,500.5,-285.0,manage_21dte,13.18,22
NFLX,2023-09-26,380.0,44.05,-336.0,-595.0,manage_21dte,-7.63,17
NFLX,2024-03-18,620.0,71.97,-641.0,-1060.0,manage_21dte,-8.91,18
NFLX,2024-04-04,615.0,73.83,-1742.5,-2817.5,manage_21dte,-23.6,22
NFLX,2024-07-19,635.0,50.15,-1541.0,-1530.0,manage_21dte,-30.73,21
NFLX,2024-09-03,675.0,49.25,-778.5,-767.5,manage_21dte,-15.81,17
NFLX,2024-10-03,705.0,77.68,-1796.0,-2050.0,manage_21dte,-23.12,22
NFLX,2025-01-02,885.0,102.35,-375.5,-2377.5,manage_21dte,-3.67,22
NFLX,2025-02-03,980.0,68.5,-991.0,-980.0,manage_21dte,-14.47,18
NFLX,2025-02-25,975.0,76.07,3792.7,0.0,tp_plus50,49.86,13
NFLX,2025-10-10,1220.0,130.03,-1611.0,-1600.0,manage_21dte,-12.39,21
NFLX,2026-02-04,80.0,6.92,-99.0,-88.0,manage_21dte,-14.3,16
META,2013-08-20,38.0,2.88,133.2,-13.0,tp_plus50,46.19,14
META,2013-10-01,50.0,8.53,-123.5,-112.5,manage_21dte,-14.49,27
META,2013-12-17,55.0,5.12,-135.0,-124.0,manage_21dte,-26.34,13
META,2014-01-27,53.5,7.15,346.5,0.0,tp_plus50,48.46,11
META,2014-03-03,67.5,7.12,-247.0,-236.0,manage_21dte,-34.67,18
META,2014-03-14,67.5,8.25,401.5,-142.0,tp_plus50,48.67,21
META,2014-03-27,61.0,9.75,-253.5,-242.5,manage_21dte,-26.0,25
META,2014-04-08,57.5,9.07,-374.0,-428.0,stop_minus40,-41.21,17
META,2014-04-10,60.0,9.23,-380.0,-433.5,stop_minus40,-41.19,14
META,2014-07-31,72.5,6.62,-276.0,-274.0,stop_minus40,-41.66,22
META,2014-09-25,77.0,8.32,-101.0,-112.5,manage_21dte,-12.13,22
META,2014-12-11,77.5,5.41,-128.5,-117.5,manage_21dte,-23.73,18
META,2015-06-29,86.0,7.17,331.5,-62.5,manage_21dte,46.2,18
META,2015-08-20,90.5,8.15,396.5,0.0,tp_plus50,48.65,4
META,2015-12-11,102.0,9.62,-396.0,-413.5,stop_minus40,-41.14,24
META,2016-01-04,102.0,9.78,-141.5,-130.5,manage_21dte,-14.48,18
META,2016-06-16,114.0,10.48,-148.5,-307.5,manage_21dte,-14.18,22
META,2016-09-14,130.0,6.75,-252.0,-241.0,manage_21dte,-37.33,16
META,2016-10-11,130.0,10.02,-126.0,-115.0,manage_21dte,-12.57,17
META,2017-04-10,140.0,8.6,326.0,-43.5,manage_21dte,37.91,18
META,2017-08-11,167.5,10.2,-315.5,-370.0,manage_21dte,-30.93,21
META,2017-11-14,177.5,8.98,-122.5,-172.5,manage_21dte,-13.65,17
META,2017-11-28,182.5,7.8,379.0,0.0,tp_plus50,48.59,6
META,2018-01-16,177.5,14.45,31.5,-77.5,manage_21dte,2.18,17
META,2018-07-02,197.5,16.3,101.5,-70.0,manage_21dte,6.23,18
META,2018-10-08,155.0,16.12,106.5,-217.5,manage_21dte,6.6,18
META,2019-05-09,190.0,14.05,-3.0,-368.0,manage_21dte,-0.21,22
META,2019-08-05,182.5,16.98,-690.0,-690.0,stop_minus40,-40.65,15
META,2019-10-01,175.0,15.95,10.5,-75.0,manage_21dte,0.66,17
META,2020-01-27,215.0,18.0,-731.0,-735.0,stop_minus40,-40.61,16
META,2020-09-24,250.0,34.17,-506.0,-495.0,manage_21dte,-14.81,22
META,2020-09-30,262.5,31.52,-491.0,-480.0,manage_21dte,-15.57,16
META,2021-01-28,265.0,30.12,-1216.0,-1330.0,stop_minus40,-40.37,21
META,2021-09-17,365.0,30.63,787.5,-320.0,manage_21dte,25.71,21
META,2021-11-26,335.0,33.4,-1253.5,-1242.5,manage_21dte,-37.53,21
META,2022-01-13,325.0,32.08,1592.8,-555.0,tp_plus50,49.66,21
META,2022-04-22,185.0,31.82,-918.5,-1025.0,manage_21dte,-28.86,21
META,2022-09-02,160.0,20.27,128.0,-310.5,manage_21dte,6.31,21
META,2022-09-13,155.0,18.85,211.5,-197.5,manage_21dte,11.22,17
META,2023-03-13,180.0,20.23,1000.3,0.0,tp_plus50,49.46,3
META,2023-08-17,285.0,28.12,-591.0,-580.0,manage_21dte,-21.01,22
META,2023-09-26,300.0,36.77,-188.5,-205.0,manage_21dte,-5.13,17
META,2024-03-18,495.0,61.4,-306.0,-1160.0,manage_21dte,-4.98,18
META,2024-04-04,510.0,62.92,538.0,-710.0,manage_21dte,8.55,22
META,2024-07-19,475.0,60.7,-793.5,-1732.5,manage_21dte,-13.07,21
META,2024-09-03,510.0,40.38,1639.0,-555.0,manage_21dte,40.59,17
META,2024-10-03,585.0,69.15,-1153.5,-1242.5,manage_21dte,-16.68,22
META,2025-01-02,600.0,69.78,-78.5,-1082.5,manage_21dte,-1.13,22
META,2025-02-03,695.0,57.15,-1863.5,-1947.5,manage_21dte,-32.61,18
META,2025-02-25,655.0,55.12,139.0,-222.5,manage_21dte,2.52,17
META,2025-10-10,705.0,86.33,-1716.0,-2610.0,manage_21dte,-19.88,21
META,2026-02-04,670.0,55.47,-1671.0,-1660.0,manage_21dte,-30.12,16
NVDA,2013-08-20,15.0,0.98,-34.5,-23.5,manage_21dte,-35.2,14
NVDA,2013-10-01,16.0,1.4,-33.0,-42.0,manage_21dte,-23.57,27
